,precision,recall,f1-score,support
0.0,0.6221498371335505,0.25098554533508544,0.3576779026217229,761.0
1.0,0.4642857142857143,0.8098360655737705,0.5902031063321387,610.0
accuracy,0.49963530269876005,0.49963530269876005,0.49963530269876005,0.49963530269876005
macro avg,0.5432177757096324,0.530410805454428,0.4739405044769308,1371.0
weighted avg,0.5519112412639808,0.49963530269876005,0.46113550602314785,1371.0
