,precision,recall,f1-score,support
0.0,0.9841059602649007,0.9737876802096985,0.9789196310935442,1526.0
1.0,0.9762611275964391,0.9856201318154584,0.9809183064997018,1669.0
accuracy,0.9799687010954616,0.9799687010954616,0.9799687010954616,0.9799687010954616
macro avg,0.9801835439306699,0.9797039060125785,0.979918968796623,3195.0
weighted avg,0.9800079866424712,0.9799687010954616,0.9799636965874023,3195.0
