,precision,recall,f1-score,support
0.0,0.9843260188087775,0.9457831325301205,0.9646697388632872,332.0
1.0,0.9717868338557993,0.992,0.9817893903404592,625.0
accuracy,0.9759665621734587,0.9759665621734587,0.9759665621734587,0.9759665621734587
macro avg,0.9780564263322884,0.9688915662650602,0.9732295646018732,957.0
weighted avg,0.9761368959293508,0.9759665621734587,0.9758502844988489,957.0
