,precision,recall,f1-score,support
0.0,0.44871794871794873,0.5072463768115942,0.4761904761904762,69.0
1.0,0.4805194805194805,0.4868421052631579,0.48366013071895425,76.0
2.0,0.10526315789473684,0.11764705882352941,0.1111111111111111,17.0
3.0,0.375,0.23076923076923078,0.2857142857142857,13.0
4.0,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
5.0,0.64,0.5517241379310345,0.5925925925925927,29.0
accuracy,0.4460093896713615,0.4460093896713615,0.4460093896713615,0.4460093896713615
macro avg,0.39713898674424986,0.3527418553034615,0.36932254383234775,213.0
weighted avg,0.4493215618085892,0.4460093896713615,0.44508766469550787,213.0
