,precision,recall,f1-score,support
0.0,0.45714285714285713,0.463768115942029,0.460431654676259,69.0
1.0,0.42857142857142855,0.631578947368421,0.5106382978723404,76.0
2.0,0.0,0.0,0.0,17.0
3.0,0.0,0.0,0.0,13.0
4.0,0.0,0.0,0.0,9.0
5.0,0.8,0.8275862068965517,0.8135593220338982,29.0
accuracy,0.48826291079812206,0.48826291079812206,0.48826291079812206,0.48826291079812206
macro avg,0.28095238095238095,0.32048887836783363,0.2974382124304163,213.0
weighted avg,0.4099262240107311,0.48826291079812206,0.44211978943635105,213.0
