,precision,recall,f1-score,support
0.0,0.42105263157894735,0.2318840579710145,0.29906542056074764,69.0
1.0,0.4,0.5789473684210527,0.4731182795698925,76.0
2.0,0.4,0.11764705882352941,0.1818181818181818,17.0
3.0,0.375,0.46153846153846156,0.41379310344827586,13.0
4.0,0.5454545454545454,0.6666666666666666,0.6,9.0
5.0,0.7878787878787878,0.896551724137931,0.8387096774193549,29.0
accuracy,0.4694835680751174,0.4694835680751174,0.4694835680751174,0.4694835680751174
macro avg,0.4882309941520468,0.49220588959310935,0.46775077713607544,213.0
weighted avg,0.4642497997019865,0.4694835680751174,0.44500142416385635,213.0
