,precision,recall,f1-score,support
0.0,0.44680851063829785,0.6086956521739131,0.5153374233128836,69.0
1.0,0.4117647058823529,0.4605263157894737,0.43478260869565216,76.0
2.0,0.0,0.0,0.0,17.0
3.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,13.0
4.0,0.0,0.0,0.0,9.0
5.0,0.9,0.3103448275862069,0.4615384615384615,29.0
accuracy,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056
macro avg,0.3443775873688264,0.2812098505403169,0.28655846687321745,213.0
weighted avg,0.432976079253997,0.4225352112676056,0.4036919054181874,213.0
