,precision,recall,f1-score,support
0.0,0.4675324675324675,0.5217391304347826,0.4931506849315068,69.0
1.0,0.4339622641509434,0.6052631578947368,0.5054945054945055,76.0
2.0,0.2,0.058823529411764705,0.0909090909090909,17.0
3.0,0.0,0.0,0.0,13.0
4.0,0.0,0.0,0.0,9.0
5.0,0.7083333333333334,0.5862068965517241,0.6415094339622641,29.0
accuracy,0.4694835680751174,0.4694835680751174,0.4694835680751174,0.4694835680751174
macro avg,0.30163801083612407,0.2953387857155014,0.2885106192162279,213.0
weighted avg,0.418697366206003,0.4694835680751174,0.4347145906489042,213.0
